Preference Vector (1/5): 1.0, 0.0
96/100: weights=[0.5533699 1.4466302], train_loss=[0.9666049  0.38476968], train_acc=[0.63936667 0.8552    ], test_loss=[0.9896364 0.5431366], test_acc=[0.6272 0.8069]
97/100: weights=[0.27619117 1.7238089 ], train_loss=[0.96609646 0.3848034 ], train_acc=[0.63918333 0.855625  ], test_loss=[0.9895788 0.5417088], test_acc=[0.6251  0.80615]
98/100: weights=[0.07804052 1.9219593 ], train_loss=[0.9631224 0.3850724], train_acc=[0.63983333 0.85509167], test_loss=[0.98656976 0.54255646], test_acc=[0.6277  0.80675]
99/100: weights=[0.30457333 1.6954267 ], train_loss=[0.9622611  0.38530788], train_acc=[0.64069167 0.85535   ], test_loss=[0.98521125 0.5429496 ], test_acc=[0.62825 0.80485]
100/100: weights=[0.15396942 1.8460307 ], train_loss=[0.9607449  0.38484016], train_acc=[0.64100833 0.85566667], test_loss=[0.9841165  0.54243064], test_acc=[0.62885 0.80585]
Preference Vector (2/5): 0.9238795, 0.38268343
1/100: weights=[0.0493596 1.9506404], train_loss=[1.1310288 0.8026379], train_acc=[0.58519167 0.704375  ], test_loss=[1.1319997 0.8213796], test_acc=[0.5801 0.7001]
2/100: weights=[0.28356898 1.7164311 ], train_loss=[0.89898044 0.662584  ], train_acc=[0.66770833 0.75708333], test_loss=[0.9144969 0.6850445], test_acc=[0.65645 0.7503 ]
3/100: weights=[0.19432105 1.8056788 ], train_loss=[0.8325262  0.61551124], train_acc=[0.69198333 0.77200833], test_loss=[0.8528689  0.64476556], test_acc=[0.67825 0.76195]
4/100: weights=[0.4057145 1.5942855], train_loss=[0.80120647 0.5851077 ], train_acc=[0.70269167 0.783625  ], test_loss=[0.81817764 0.6209493 ], test_acc=[0.6892 0.771 ]
5/100: weights=[0.25379533 1.7462047 ], train_loss=[0.77392566 0.5697135 ], train_acc=[0.71151667 0.78985   ], test_loss=[0.7952992 0.6135096], test_acc=[0.70275 0.7748 ]
6/100: weights=[0.7760166 1.2239834], train_loss=[0.75233436 0.54448074], train_acc=[0.72095    0.79918333], test_loss=[0.78087646 0.5956336 ], test_acc=[0.7058  0.78235]
7/100: weights=[0.8291576 1.1708424], train_loss=[0.73904496 0.54487824], train_acc=[0.72521667 0.79838333], test_loss=[0.7686486 0.5917218], test_acc=[0.7109 0.788 ]
8/100: weights=[-0.1593872  1.8406129], train_loss=[0.8024238 0.5221641], train_acc=[0.70194167 0.80770833], test_loss=[0.8287429 0.5778377], test_acc=[0.69365 0.7893 ]
9/100: weights=[0.46295676 1.5370433 ], train_loss=[0.71208847 0.5124186 ], train_acc=[0.734575   0.81233333], test_loss=[0.744295  0.5710065], test_acc=[0.71875 0.7899 ]
10/100: weights=[0.04424713 1.955753  ], train_loss=[0.70694345 0.5069161 ], train_acc=[0.738775 0.8113  ], test_loss=[0.7393483  0.57103676], test_acc=[0.72555 0.78855]
11/100: weights=[0.25443238 1.7455677 ], train_loss=[0.72765046 0.51626486], train_acc=[0.72748333 0.80939167], test_loss=[0.76653475 0.58541334], test_acc=[0.7139 0.7887]
12/100: weights=[0.9122975 1.0877025], train_loss=[0.68598455 0.4989328 ], train_acc=[0.74629167 0.81451667], test_loss=[0.7297237  0.57003355], test_acc=[0.72635 0.7898 ]
13/100: weights=[0.39117345 1.6088266 ], train_loss=[0.68708354 0.47876632], train_acc=[0.74270833 0.8229    ], test_loss=[0.73120457 0.5562155 ], test_acc=[0.7309 0.7977]
14/100: weights=[0.28211552 1.7178845 ], train_loss=[0.7021537  0.47985828], train_acc=[0.74018333 0.82203333], test_loss=[0.7423804 0.5594715], test_acc=[0.72385 0.79535]
15/100: weights=[0.326753 1.673247], train_loss=[0.64631206 0.45004985], train_acc=[0.75960833 0.83446667], test_loss=[0.6946784  0.53626657], test_acc=[0.74205 0.8078 ]
16/100: weights=[0.3184052 1.6815948], train_loss=[0.6434822  0.45433557], train_acc=[0.760475   0.83285833], test_loss=[0.69264954 0.54701686], test_acc=[0.74445 0.7998 ]
17/100: weights=[0.55455166 1.4454483 ], train_loss=[0.6384854  0.44562986], train_acc=[0.7648     0.83603333], test_loss=[0.6895912  0.53752834], test_acc=[0.74285 0.8021 ]
18/100: weights=[0.21434575 1.7856541 ], train_loss=[0.6372977  0.44964457], train_acc=[0.76391667 0.83408333], test_loss=[0.6925026 0.546065 ], test_acc=[0.74525 0.80325]
19/100: weights=[0.90607697 1.0939231 ], train_loss=[0.63963664 0.44369775], train_acc=[0.76155    0.83589167], test_loss=[0.69220567 0.5381904 ], test_acc=[0.73985 0.807  ]
20/100: weights=[-0.13243173  1.8675683 ], train_loss=[0.637419   0.45046243], train_acc=[0.763525   0.83353333], test_loss=[0.6915145  0.54816234], test_acc=[0.74315 0.79935]
21/100: weights=[0.51667535 1.4833246 ], train_loss=[0.65645826 0.4419953 ], train_acc=[0.75673333 0.83763333], test_loss=[0.7109784  0.54212385], test_acc=[0.7361 0.8039]
22/100: weights=[0.3936482 1.6063519], train_loss=[0.62872344 0.4462262 ], train_acc=[0.76526667 0.83593333], test_loss=[0.68305993 0.5458722 ], test_acc=[0.7429  0.80165]
23/100: weights=[0.28438693 1.7156131 ], train_loss=[0.62927467 0.44238687], train_acc=[0.76819167 0.83698333], test_loss=[0.6863326  0.54405767], test_acc=[0.7449 0.8013]
24/100: weights=[0.46119162 1.5388083 ], train_loss=[0.6282524  0.44332823], train_acc=[0.7682     0.83603333], test_loss=[0.68778634 0.5491975 ], test_acc=[0.7483  0.80065]
25/100: weights=[1.0754278  0.92457217], train_loss=[0.620416  0.4420513], train_acc=[0.77045833 0.83629167], test_loss=[0.67867523 0.551024  ], test_acc=[0.74975 0.80245]
26/100: weights=[0.50634736 1.4936526 ], train_loss=[0.6172663 0.4556426], train_acc=[0.77078333 0.83161667], test_loss=[0.6778856 0.5632665], test_acc=[0.74915 0.79875]
27/100: weights=[0.06177121 1.9382287 ], train_loss=[0.6450535 0.4271195], train_acc=[0.7606 0.8429], test_loss=[0.70546013 0.5336538 ], test_acc=[0.7407  0.80565]
28/100: weights=[0.2817805 1.7182195], train_loss=[0.61188865 0.4236967 ], train_acc=[0.77365    0.84261667], test_loss=[0.67147595 0.53506285], test_acc=[0.74975 0.80925]
29/100: weights=[0.48232645 1.5176735 ], train_loss=[0.61201173 0.43607765], train_acc=[0.772875   0.83796667], test_loss=[0.6727674 0.5496754], test_acc=[0.7494 0.8016]
30/100: weights=[0.15588996 1.8441101 ], train_loss=[0.6001223 0.4115015], train_acc=[0.77801667 0.84785   ], test_loss=[0.66306746 0.5321537 ], test_acc=[0.7545 0.8058]
31/100: weights=[0.2547251 1.7452748], train_loss=[0.6014602  0.40735307], train_acc=[0.77549167 0.85026667], test_loss=[0.6656617 0.5318466], test_acc=[0.7533 0.811 ]
32/100: weights=[0.5129754 1.4870247], train_loss=[0.59444827 0.40590355], train_acc=[0.77926667 0.85168333], test_loss=[0.66013736 0.53047055], test_acc=[0.75465 0.81115]
33/100: weights=[0.31051052 1.6894894 ], train_loss=[0.60185415 0.40517357], train_acc=[0.7772     0.85135833], test_loss=[0.6683048 0.5339554], test_acc=[0.75395 0.81175]
34/100: weights=[0.22417103 1.7758291 ], train_loss=[0.6055514  0.40713033], train_acc=[0.772375 0.85055 ], test_loss=[0.6724768  0.53487414], test_acc=[0.74935 0.8096 ]
35/100: weights=[0.83244264 1.1675574 ], train_loss=[0.59158105 0.4070539 ], train_acc=[0.78023333 0.84983333], test_loss=[0.65816504 0.5363005 ], test_acc=[0.7552 0.8074]
36/100: weights=[0.36030746 1.6396924 ], train_loss=[0.5876608  0.40351918], train_acc=[0.78175833 0.85163333], test_loss=[0.65581083 0.5334274 ], test_acc=[0.75705 0.80845]
37/100: weights=[0.6580604 1.3419397], train_loss=[0.5924696  0.40198094], train_acc=[0.77896667 0.85221667], test_loss=[0.657897  0.5319017], test_acc=[0.75515 0.8108 ]
38/100: weights=[0.13168132 1.8683187 ], train_loss=[0.5884617  0.40401676], train_acc=[0.78056667 0.850575  ], test_loss=[0.65599024 0.541628  ], test_acc=[0.7568  0.80575]
39/100: weights=[0.31490687 1.685093  ], train_loss=[0.58905435 0.40279195], train_acc=[0.78118333 0.85128333], test_loss=[0.6559116  0.53346556], test_acc=[0.7582 0.8123]
