Preference Vector (1/5): 1.0, 0.0
74/100: weights=[0.3116288 1.6883712], train_loss=[0.6921447  0.26015064], train_acc=[0.77091667 0.904025  ], test_loss=[0.69308037 0.4313739 ], test_acc=[0.7649 0.8511]
75/100: weights=[0.30827752 1.6917225 ], train_loss=[0.69147515 0.25846836], train_acc=[0.77155 0.90505], test_loss=[0.6931675 0.4302982], test_acc=[0.76515 0.851  ]
76/100: weights=[-0.00751311  1.992487  ], train_loss=[0.69301623 0.25766775], train_acc=[0.771025   0.90544167], test_loss=[0.6938754  0.43072066], test_acc=[0.76555 0.85225]
77/100: weights=[0.5028351 1.497165 ], train_loss=[0.6905699  0.25747108], train_acc=[0.77148333 0.90575   ], test_loss=[0.6919721  0.43124032], test_acc=[0.7656  0.85135]
78/100: weights=[0.24519652 1.7548035 ], train_loss=[0.68997383 0.25750807], train_acc=[0.77195833 0.9053    ], test_loss=[0.6907051  0.43082964], test_acc=[0.76655 0.85195]
79/100: weights=[0.3273549 1.6726452], train_loss=[0.6877949 0.2584158], train_acc=[0.77306667 0.90505   ], test_loss=[0.6891951  0.43291885], test_acc=[0.76665 0.8519 ]
80/100: weights=[0.23936577 1.7606342 ], train_loss=[0.6868816  0.25798988], train_acc=[0.77329167 0.90520833], test_loss=[0.6880753 0.4325428], test_acc=[0.76665 0.85175]
81/100: weights=[0.07048177 1.9295182 ], train_loss=[0.69109213 0.2567248 ], train_acc=[0.77153333 0.905825  ], test_loss=[0.6920318  0.42961276], test_acc=[0.76555 0.8521 ]
82/100: weights=[0.32552394 1.674476  ], train_loss=[0.68511385 0.257958  ], train_acc=[0.77363333 0.90535   ], test_loss=[0.68625814 0.43074876], test_acc=[0.76795 0.85185]
83/100: weights=[0.24775058 1.7522494 ], train_loss=[0.68558806 0.2581227 ], train_acc=[0.77295    0.90549167], test_loss=[0.6868784 0.431447 ], test_acc=[0.7677  0.85185]
84/100: weights=[0.42982274 1.5701772 ], train_loss=[0.6850014 0.2566088], train_acc=[0.77335833 0.9058    ], test_loss=[0.68703306 0.43205658], test_acc=[0.76715 0.8512 ]
85/100: weights=[0.2804671 1.7195328], train_loss=[0.68491524 0.256965  ], train_acc=[0.77335    0.90560833], test_loss=[0.68605345 0.43324324], test_acc=[0.76925 0.851  ]
86/100: weights=[0.2771862 1.7228137], train_loss=[0.6848013  0.25691673], train_acc=[0.77350833 0.90575   ], test_loss=[0.68677473 0.4333503 ], test_acc=[0.76865 0.852  ]
87/100: weights=[0.07313093 1.926869  ], train_loss=[0.683793   0.25598076], train_acc=[0.77384167 0.90575833], test_loss=[0.685685   0.43182084], test_acc=[0.76805 0.8517 ]
88/100: weights=[0.38752794 1.6124719 ], train_loss=[0.6834941  0.25687227], train_acc=[0.77418333 0.90568333], test_loss=[0.68519515 0.4322814 ], test_acc=[0.7686  0.85135]
