Preference Vector (1/5): 1.0, 0.0
83/100: weights=[0.36368626 1.6363138 ], train_loss=[0.34987283 0.19938055], train_acc=[0.88683333 0.93376667], test_loss=[0.36859956 0.33683205], test_acc=[0.8787 0.8931]
84/100: weights=[0.24376473 1.7562354 ], train_loss=[0.35048458 0.19909678], train_acc=[0.886125   0.93430833], test_loss=[0.36953837 0.3352834 ], test_acc=[0.87795 0.8927 ]
85/100: weights=[0.37238038 1.6276196 ], train_loss=[0.34979555 0.19944952], train_acc=[0.88705833 0.93385833], test_loss=[0.36808777 0.33647054], test_acc=[0.8792  0.89325]
86/100: weights=[0.5614194 1.4385804], train_loss=[0.34984872 0.19847947], train_acc=[0.88664167 0.93425833], test_loss=[0.36874145 0.33633903], test_acc=[0.87835 0.894  ]
87/100: weights=[0.45321807 1.5467819 ], train_loss=[0.35017705 0.19955054], train_acc=[0.88675833 0.93385   ], test_loss=[0.36891142 0.33782116], test_acc=[0.8781 0.8935]
88/100: weights=[0.4417051 1.558295 ], train_loss=[0.34987733 0.19891956], train_acc=[0.886825 0.934325], test_loss=[0.36948594 0.33856785], test_acc=[0.878   0.89385]
89/100: weights=[0.4693653 1.5306346], train_loss=[0.34971827 0.19889452], train_acc=[0.8871     0.93390833], test_loss=[0.369428   0.33814943], test_acc=[0.8787 0.893 ]
90/100: weights=[0.6931953 1.3068049], train_loss=[0.34925157 0.19846146], train_acc=[0.887325 0.93395 ], test_loss=[0.36849564 0.33713162], test_acc=[0.8771  0.89345]
91/100: weights=[0.5332163 1.4667836], train_loss=[0.3491677  0.19797239], train_acc=[0.887275   0.93421667], test_loss=[0.36866915 0.33697122], test_acc=[0.87825 0.89355]
92/100: weights=[0.46905977 1.5309402 ], train_loss=[0.3492494  0.19780405], train_acc=[0.88741667 0.93475   ], test_loss=[0.36832848 0.33635858], test_acc=[0.8778 0.893 ]
93/100: weights=[0.24839349 1.7516065 ], train_loss=[0.34913996 0.19805658], train_acc=[0.88733333 0.934425  ], test_loss=[0.36877784 0.33784816], test_acc=[0.87785 0.8935 ]
94/100: weights=[0.21631238 1.7836876 ], train_loss=[0.34905577 0.19799194], train_acc=[0.887325   0.93405833], test_loss=[0.36841887 0.33701146], test_acc=[0.8787 0.8931]
95/100: weights=[0.26077315 1.7392268 ], train_loss=[0.34912464 0.1979894 ], train_acc=[0.88720833 0.93449167], test_loss=[0.36795866 0.33779246], test_acc=[0.87835 0.8936 ]
96/100: weights=[0.387602 1.612398], train_loss=[0.34960133 0.19754674], train_acc=[0.88685833 0.9347    ], test_loss=[0.36888123 0.33711928], test_acc=[0.8774  0.89345]
97/100: weights=[0.39560056 1.6043996 ], train_loss=[0.34864342 0.1977408 ], train_acc=[0.88768333 0.93453333], test_loss=[0.36738878 0.3375396 ], test_acc=[0.87925 0.89375]
98/100: weights=[0.44841644 1.5515836 ], train_loss=[0.34876147 0.19758157], train_acc=[0.88726667 0.93475833], test_loss=[0.3680427 0.3375539], test_acc=[0.8776 0.8937]
99/100: weights=[0.23406687 1.7659332 ], train_loss=[0.34887025 0.19780897], train_acc=[0.8875     0.93451667], test_loss=[0.36806074 0.33787996], test_acc=[0.87875 0.8932 ]
100/100: weights=[0.33381554 1.6661844 ], train_loss=[0.34874812 0.19751522], train_acc=[0.88770833 0.93453333], test_loss=[0.36759076 0.33764786], test_acc=[0.8785  0.89365]
Preference Vector (2/5): 0.9238795, 0.38268343
1/100: weights=[0.43769714 1.5623027 ], train_loss=[0.81644934 0.6252629 ], train_acc=[0.7323     0.79039167], test_loss=[0.79747254 0.62505746], test_acc=[0.7407 0.793 ]
2/100: weights=[-0.26152486  1.7384752 ], train_loss=[0.7077003  0.56299084], train_acc=[0.768125   0.81195833], test_loss=[0.6849849  0.57464325], test_acc=[0.7752  0.81005]
3/100: weights=[0.5576745 1.4423255], train_loss=[0.6699221  0.46755058], train_acc=[0.783925   0.84274167], test_loss=[0.65250987 0.4853255 ], test_acc=[0.7903  0.83815]
4/100: weights=[0.63910085 1.3608992 ], train_loss=[0.6150014  0.43881363], train_acc=[0.80008333 0.84926667], test_loss=[0.61007726 0.4584415 ], test_acc=[0.8042 0.8484]
5/100: weights=[0.7065263 1.2934737], train_loss=[0.53852934 0.4114574 ], train_acc=[0.82441667 0.85948333], test_loss=[0.536766   0.43862626], test_acc=[0.82945 0.85425]
6/100: weights=[0.29224285 1.7077572 ], train_loss=[0.51508504 0.38639063], train_acc=[0.83465    0.86913333], test_loss=[0.51615465 0.4198297 ], test_acc=[0.83695 0.8623 ]
7/100: weights=[0.2983065 1.7016934], train_loss=[0.523884  0.3598433], train_acc=[0.83099167 0.87826667], test_loss=[0.53444946 0.3958006 ], test_acc=[0.82855 0.86605]
8/100: weights=[0.34119558 1.6588044 ], train_loss=[0.48678836 0.3497183 ], train_acc=[0.84105833 0.88146667], test_loss=[0.49485356 0.39793572], test_acc=[0.8398 0.866 ]
9/100: weights=[0.18464331 1.8153567 ], train_loss=[0.4925808  0.33457693], train_acc=[0.83995833 0.88564167], test_loss=[0.50172675 0.38392565], test_acc=[0.83945 0.8708 ]
10/100: weights=[0.68580675 1.3141932 ], train_loss=[0.45628205 0.33910438], train_acc=[0.85218333 0.88464167], test_loss=[0.4624405  0.39685744], test_acc=[0.85065 0.8708 ]
11/100: weights=[0.43029672 1.5697033 ], train_loss=[0.44594237 0.3044806 ], train_acc=[0.85533333 0.89691667], test_loss=[0.4576647  0.35331175], test_acc=[0.85375 0.8835 ]
12/100: weights=[0.1621062 1.837894 ], train_loss=[0.44507137 0.31227687], train_acc=[0.8549     0.89391667], test_loss=[0.46185496 0.3664297 ], test_acc=[0.85145 0.8788 ]
13/100: weights=[0.43946972 1.5605303 ], train_loss=[0.41392386 0.31376597], train_acc=[0.8649     0.89191667], test_loss=[0.4288421 0.3730674], test_acc=[0.86355 0.8751 ]
14/100: weights=[0.62907714 1.3709229 ], train_loss=[0.42201582 0.31248844], train_acc=[0.862325   0.89336667], test_loss=[0.43845934 0.36610046], test_acc=[0.8598 0.88  ]
15/100: weights=[0.19269979 1.8073002 ], train_loss=[0.38511744 0.25872415], train_acc=[0.87415  0.911875], test_loss=[0.40101862 0.32672298], test_acc=[0.87005 0.893  ]
16/100: weights=[1.0341398  0.96586025], train_loss=[0.3776541 0.2609477], train_acc=[0.87709167 0.91151667], test_loss=[0.39815247 0.33323145], test_acc=[0.87355 0.8914 ]
17/100: weights=[0.80374074 1.1962593 ], train_loss=[0.36735937 0.26203856], train_acc=[0.87976667 0.91033333], test_loss=[0.38488242 0.3359163 ], test_acc=[0.87785 0.8892 ]
18/100: weights=[0.49635532 1.5036447 ], train_loss=[0.3643724  0.25082737], train_acc=[0.88073333 0.914525  ], test_loss=[0.38477707 0.32899487], test_acc=[0.8771 0.8936]
19/100: weights=[0.3186376 1.6813624], train_loss=[0.369334   0.25049448], train_acc=[0.879925 0.914875], test_loss=[0.3899106  0.32460427], test_acc=[0.87565 0.89465]
20/100: weights=[0.88980275 1.1101973 ], train_loss=[0.3614433  0.24694207], train_acc=[0.8813     0.91585833], test_loss=[0.38044623 0.32506967], test_acc=[0.87665 0.8954 ]
21/100: weights=[0.87223804 1.127762  ], train_loss=[0.35748455 0.25346833], train_acc=[0.88265    0.91349167], test_loss=[0.38245708 0.33499464], test_acc=[0.87845 0.88955]
22/100: weights=[0.6064453 1.3935547], train_loss=[0.35118505 0.24251686], train_acc=[0.88451667 0.91688333], test_loss=[0.37565187 0.32633954], test_acc=[0.88015 0.89315]
23/100: weights=[0.40332168 1.5966784 ], train_loss=[0.3594103 0.2350383], train_acc=[0.88324167 0.92059167], test_loss=[0.3846034 0.3170769], test_acc=[0.877   0.89515]
24/100: weights=[0.29822195 1.7017782 ], train_loss=[0.34948614 0.23370363], train_acc=[0.88514167 0.920325  ], test_loss=[0.3759229  0.31601268], test_acc=[0.8799  0.89525]
25/100: weights=[0.61791456 1.3820856 ], train_loss=[0.35769722 0.24083595], train_acc=[0.88313333 0.91791667], test_loss=[0.38375685 0.32130826], test_acc=[0.8769  0.89515]
26/100: weights=[0.8692953 1.1307048], train_loss=[0.34787384 0.2375748 ], train_acc=[0.885675 0.919075], test_loss=[0.37765503 0.3242157 ], test_acc=[0.8791 0.8942]
27/100: weights=[0.9310958 1.0689043], train_loss=[0.34006318 0.23370355], train_acc=[0.8889   0.919725], test_loss=[0.36803016 0.32710418], test_acc=[0.8818 0.8931]
28/100: weights=[0.36937392 1.6306262 ], train_loss=[0.33705038 0.23353398], train_acc=[0.89048333 0.919275  ], test_loss=[0.36724284 0.32384512], test_acc=[0.8822 0.8942]
